time a b
30640 425 447
30640 20 1362
30660 290 574
30660 160 425
30660 97 147
30660 117 432
30660 491 859
30660 89 1245
30660 97 985
30660 378 432
30660 27 165
30660 290 720
30660 20 77
30680 425 447
30680 117 429
30680 290 440
30700 574 977
30700 165 447
30700 74 242
30720 491 1362
30720 245 653
30720 242 649
30720 147 603
30720 159 970
30720 387 977
30720 426 1323
30720 165 447
30720 426 649
30720 603 1492
30720 165 425
30720 27 165
30740 89 432
30740 89 1362
30740 89 429
30740 15 429
30740 290 432
30760 97 1492
30760 242 720
30760 97 1414
30760 97 441
30780 295 763
30780 429 1245
30780 460 909
30780 99 628
30780 220 574
30780 464 909
30780 147 429
30800 89 401
30800 200 574
30800 147 200
30800 242 487
30800 220 1204
30800 242 1090
30800 89 720
30800 200 977
30800 89 1090
30800 220 977
30820 71 429
30820 97 147
30820 200 242
30820 15 1362
30820 71 574
30820 475 677
30820 491 1323
30840 20 242
30840 401 432
30840 259 425
30840 200 215
30860 20 401
30860 122 426
30860 20 147
30860 74 574
30880 1204 1323
30880 89 432
30880 15 20
30880 491 720
30880 117 461
30880 242 1204
30880 242 1090
30880 117 441
30880 1323 1492
30900 122 147
30900 77 122
30900 20 1362
30940 20 1414
30940 491 1090
30940 89 401
30960 242 378
30960 77 1260
30960 242 1362
30960 89 432
30960 74 1414
30960 77 491
30960 242 1260
30960 74 487
30980 3 117
30980 432 1245
30980 461 1492
30980 147 441
30980 55 220
30980 27 447
30980 55 1245
30980 71 1323
30980 77 387
30980 434 1323
30980 461 1090
30980 603 779
30980 117 441
30980 77 1323
31000 15 117
31000 20 215
31000 432 1414
31000 71 649
31000 15 164
31000 603 779
31000 117 440
31020 1362 1492
31020 34 653
31020 242 487
31020 15 372
31020 55 1245
31020 242 1209
31040 378 1090
31040 77 985
31040 574 1362
31040 220 574
31040 290 491
31040 603 779
31040 3 1492
31040 215 574
31060 242 1414
31060 15 372
31060 164 487
31060 215 220
31060 215 977
31060 77 242
31060 295 425
31100 164 574
31100 20 977
31100 164 1492
31120 97 491
31120 20 491
31120 89 461
31120 74 441
31120 574 1204
31120 74 97
31120 3 122
31140 295 447
31160 55 215
31160 77 977
31160 491 985
31160 117 1260
31160 117 441
31160 55 117
31180 122 147
31180 440 1260
31180 763 884
31180 378 751
31180 751 1245
31180 20 387
31180 20 1414
31180 55 1260
31200 649 1245
31200 3 117
31200 649 1090
31200 3 461
31200 440 461
31200 1204 1245
31200 3 649
31200 426 649
31200 432 1090
31200 432 461
31200 378 720
31200 985 1204
31200 122 1323
31200 122 164
31220 378 432
31220 158 1090
31220 215 1245
31220 649 1090
31220 1204 1414
31220 720 751
31220 387 720
31220 426 1260
31220 491 1204
31220 158 1260
31220 20 77
31220 158 242
31220 20 649
31220 649 1260
31220 487 649
31220 77 215
31220 751 1204
31240 20 985
31240 378 1090
31240 117 429
31240 20 1492
31240 20 1204
31240 429 441
31240 89 1260
31240 378 751
31240 97 429
31240 74 985
31240 215 741
31240 55 741
31240 117 720
31240 440 741
31240 20 426
31240 741 1260
31240 220 720
31240 77 215
31260 164 440
31260 628 763
31260 461 487
31260 461 1260
31260 432 487
31280 160 165
31280 1090 1245
31280 162 372
31280 159 261
31280 461 1090
31280 89 440
31300 3 158
31300 649 1209
31300 164 242
31300 77 158
31300 3 1245
31300 429 441
31300 77 97
31300 440 1090
31300 441 487
31300 432 751
31300 261 491
31300 3 649
31300 3 1414
31300 220 487
31300 20 164
31300 158 751
31300 242 574
31300 487 574
31300 574 751
31320 77 574
31320 574 1209
31320 434 1204
31320 461 1090
31320 34 763
31320 215 378
31320 1204 1414
31320 77 649
31320 215 1414
31320 461 751
31320 220 461
31320 122 461
31320 220 487
31320 165 447
31320 432 487
31320 89 487
31320 3 487
31320 77 378
31340 628 763
31340 71 387
31340 232 272
31340 80 894
31340 74 985
31360 122 426
31380 220 432
31380 122 147
31380 20 1209
31380 162 372
31380 55 122
31380 215 487
31380 158 574
31380 574 1414
31380 220 574
31380 429 1204
31380 20 74
31380 432 487
31380 20 426
31380 122 487
31380 55 977
31380 3 977
31380 97 122
31400 117 649
31400 89 429
31400 3 429
31400 162 372
31400 441 1323
31400 432 1414
31400 89 985
31400 20 117
31420 215 461
31420 77 242
31420 27 165
31420 162 372
31420 80 894
31440 290 432
31440 160 165
31440 89 122
31440 160 628
31440 432 1414
31440 147 441
31440 165 447
31440 164 1260
31440 261 694
31440 160 259
31440 432 461
31460 89 977
31460 461 977
31460 162 372
31460 77 977
31460 259 653
31460 261 694
31460 122 1245
31480 160 884
31480 425 763
31480 261 694
31480 122 1260
31500 425 447
31500 261 694
31520 27 99
31520 147 461
31520 425 447
31520 3 985
31520 653 677
31520 261 694
31540 20 985
31540 628 763
31540 425 763
31540 261 694
31540 80 894
31560 89 147
31560 261 694
31560 147 1245
31560 432 1090
31580 117 441
31580 295 447
31580 27 295
31580 27 165
31580 165 447
31580 97 1414
31580 261 694
31580 677 970
31600 20 985
31600 77 122
31600 261 694
31600 164 461
31600 122 1245
31620 147 441
31620 3 89
31620 261 694
31640 74 1209
31640 27 62
31640 74 215
31640 20 215
31640 117 461
31640 261 694
31660 80 894
31680 440 487
31680 164 1245
31700 295 653
31700 429 1245
31700 89 432
31700 1090 1414
31700 1323 1362
31700 89 1414
31700 489 970
31700 1323 1492
31720 242 977
31720 147 985
31720 20 429
31740 77 977
31740 461 1492
31740 242 1492
31740 15 120
31740 261 694
31740 77 378
31760 461 977
31760 1204 1492
31760 3 147
31760 147 1492
31760 1204 1245
31760 220 429
31760 1260 1323
31760 3 985
31760 34 295
31760 164 432
31760 977 985
31760 432 461
31780 432 1245
31780 1245 1492
31780 426 1492
31780 432 1090
31780 1414 1492
31780 97 147
31780 440 1260
31780 461 1260
31780 432 461
31800 89 977
31800 429 1260
31800 77 977
31800 164 1323
31800 378 741
31800 74 1362
31800 429 1323
31800 261 694
31800 426 977
31800 165 425
31820 1245 1492
31820 628 880
31820 441 1260
31820 461 1362
31820 89 487
31820 378 461
31820 77 461
31840 487 1245
31840 162 372
31840 434 487
31840 432 1090
31840 34 295
31840 165 884
31840 1090 1323
31840 461 1414
31840 261 694
31840 165 295
31840 117 1323
31860 89 977
31860 432 1362
31860 461 977
31860 215 461
31860 162 372
31860 432 461
31860 432 1414
31860 20 429
31860 1209 1414
31860 1323 1362
31860 259 653
31860 165 447
31860 259 763
31860 97 1323
31860 215 985
31860 198 267
31860 165 425
31860 117 1245
31880 160 628
31880 198 267
31900 198 267
31900 80 894
31900 97 117
31920 378 432
31920 447 884
31920 74 378
31920 198 267
31920 97 378
31920 97 429
31920 440 1323
31920 97 1323
31920 77 97
31920 164 1260
31920 242 985
31920 1323 1492
31920 165 295
31920 378 461
31920 89 242
31940 3 97
31940 3 117
31940 122 429
31940 1204 1260
31940 198 267
31940 441 1204
31940 977 1209
31940 1245 1260
31940 649 779
31940 80 894
31940 3 164
31960 426 1090
31960 378 432
31960 74 164
31960 160 425
31960 20 429
31960 80 894
31960 117 1090
31960 198 267
31960 429 1090
31980 74 215
31980 198 267
31980 215 977
31980 426 985
31980 97 242
31980 80 894
31980 165 425
32000 378 461
32000 77 378
32000 441 1323
32000 147 985
32000 80 894
32000 165 425
32020 378 977
32020 74 215
32020 89 158
32020 574 1362
32020 165 884
32020 165 447
32020 378 461
32020 621 797
32040 20 985
32040 763 884
32040 74 215
32040 426 985
32040 165 447
32040 80 894
32060 198 267
32060 14 460
32060 34 677
32080 460 489
32080 574 985
32080 489 498
32080 425 628
32080 34 763
32080 460 909
32080 468 743
32080 27 165
32080 245 909
32100 464 880
32100 468 753
32100 372 491
32100 34 677
32100 464 653
32100 468 743
32100 242 434
32100 743 753
32100 461 1362
32100 425 447
32100 220 720
32100 172 184
32100 242 441
32120 372 491
32120 3 147
32120 215 426
32120 89 432
32120 172 184
32120 3 1090
32120 172 210
32120 158 378
32120 14 460
32120 220 720
32120 460 464
32120 74 574
32140 468 753
32140 97 429
32140 89 461
32140 653 880
32140 295 333
32140 295 884
32140 295 447
32140 77 1260
32140 89 741
32140 261 642
32140 441 1260
32140 172 210
32140 34 763
32140 20 1492
32140 74 378
32140 3 77
32140 97 147
32140 468 743
32140 269 706
32140 99 333
32140 653 970
32140 447 884
32140 743 753
32140 880 970
32140 741 1260
32140 220 720
32160 147 164
32160 215 1362
32160 1209 1414
32160 468 743
32160 743 753
32160 165 425
32160 468 753
32160 295 909
32160 426 1323
32160 158 1245
32160 432 461
32180 468 753
32180 261 642
32180 574 977
32180 440 1323
32180 426 1323
32180 80 894
32200 117 147
32200 20 1260
32200 378 432
32200 158 977
32200 89 164
32200 441 574
32200 333 763
32200 261 642
32200 460 909
32200 164 378
32200 245 880
32200 489 970
32200 259 460
32200 245 970
32200 440 1492
32200 34 259
32200 1245 1260
32200 333 970
32200 378 461
32220 20 158
32220 333 447
32220 215 741
32220 333 763
32220 468 753
32220 74 985
32220 158 1260
32220 706 921
32220 147 158
32220 215 1245
32220 295 425
32220 215 985
32240 468 753
32240 706 921
32240 333 763
32240 447 763
32240 20 122
32240 489 909
32240 429 1090
32240 333 447
32240 269 706
32240 269 921
32240 147 429
32240 261 642
32240 80 894
32260 55 440
32260 468 753
32260 164 215
32260 372 491
32260 242 432
32260 977 1414
32260 55 434
32260 333 447
32260 426 985
32260 460 970
32260 434 1323
32260 269 706
32260 215 432
32260 80 894
32260 117 242
32260 20 432
32280 34 165
32280 372 491
32280 242 432
32280 447 763
32280 461 574
32280 333 447
32280 460 970
32280 242 1362
32280 460 489
32280 173 425
32280 1245 1323
32280 160 970
32280 425 628
32280 14 653
32280 173 464
32280 164 1323
32280 464 909
32280 333 763
32280 59 211
32280 80 894
32280 426 985
32280 20 74
32280 99 464
32280 99 489
32280 14 173
32300 158 441
32300 158 440
32300 1362 1492
32300 55 164
32300 372 491
32300 425 628
32300 97 117
32300 447 763
32300 89 1260
32300 97 429
32300 977 1414
32300 333 447
32300 158 1492
32300 147 985
32300 426 1204
32300 211 753
32300 117 441
32300 653 880
32300 1209 1362
32300 20 122
32320 432 1260
32320 74 215
32320 440 741
32320 1090 1260
32320 72 921
32320 3 1260
32320 164 378
32320 3 1492
32320 741 1342
32320 261 751
32320 1090 1204
32320 215 1323
32320 378 1492
32320 3 440
32320 55 1260
32340 117 147
32340 34 165
32340 55 440
32340 215 1245
32340 372 491
32340 55 441
32340 117 741
32340 117 1204
32340 14 489
32340 55 74
32340 99 295
32340 14 970
32340 215 1323
32340 432 440
32340 653 970
32340 119 866
32360 119 866
32360 211 219
32360 242 1245
32360 372 491
32360 74 215
32360 425 628
32360 429 441
32360 156 333
32360 464 653
32360 89 432
32360 122 432
32360 242 432
32360 27 245
32360 261 751
32360 378 441
32360 27 653
32360 429 1090
32360 14 295
32380 34 165
32380 372 491
32380 574 1492
32380 77 1362
32380 1260 1323
32380 425 544
32380 215 1209
32380 426 1492
32380 20 378
32380 34 259
32380 215 574
32400 464 880
32400 259 628
32400 372 491
32400 34 489
32400 628 880
32400 211 706
32400 874 977
32400 173 489
32400 245 909
32400 159 333
32400 425 464
32400 259 909
32420 372 491
32420 27 259
32420 34 489
32420 14 909
32420 14 295
32420 460 970
32420 27 295
32420 89 429
32420 1260 1362
32420 55 1245
32420 1323 1342
32420 295 884
32420 985 1260
32420 1342 1362
32420 160 909
32420 27 628
32420 20 432
32420 20 1209
32420 99 628
32420 20 74
32420 434 1245
32420 874 977
32420 99 884
32420 20 55
32440 55 122
32440 89 1204
32440 574 1323
32440 55 441
32440 34 489
32440 89 432
32440 122 432
32440 55 1245
32440 874 977
32440 117 441
32440 117 1245
32460 3 432
32460 77 985
32460 122 215
32460 574 1492
32460 434 1342
32460 34 489
32460 3 441
32460 215 1362
32460 97 215
32460 27 160
32460 55 74
32460 441 985
32460 117 122
32460 874 977
32460 1260 1342
32460 164 1342
32480 3 158
32480 440 1260
32480 97 158
32480 653 909
32480 15 498
32480 74 378
32480 34 489
32480 3 441
32480 3 55
32480 80 211
32480 378 440
32480 55 164
32480 1323 1492
32480 3 1492
32480 242 440
32500 261 425
32500 34 489
32500 34 884
32500 74 164
32500 215 1323
32520 261 425
32520 34 489
32520 74 164
32520 15 498
32540 34 489
32540 89 220
32540 162 261
32540 97 429
32540 15 498
32560 97 426
32560 372 491
32560 34 489
32560 97 147
32560 20 147
32560 117 242
32560 117 1323
32580 215 1090
32580 429 441
32580 215 1342
32580 89 220
32580 89 720
32580 1342 1362
32580 20 1323
32580 220 720
32580 77 215
32580 34 489
32600 432 977
32600 603 649
32600 333 763
32600 34 489
32600 34 884
32600 99 628
32600 378 1323
32600 3 1204
32620 461 874
32620 147 164
32620 603 649
32620 164 1323
32620 378 1260
32620 34 489
32620 269 959
32620 20 741
32620 741 985
32620 378 441
32620 378 440
32620 97 242
32620 653 880
32620 117 164
32640 464 880
32640 89 220
32640 1204 1492
32640 603 649
32640 461 874
32640 295 628
32640 147 1342
32640 1090 1323
32660 741 1342
32660 461 874
32660 1362 1492
32660 164 242
32660 3 164
32660 164 215
32660 77 1209
32660 34 489
32660 3 441
32660 741 1492
32660 97 429
32660 3 1492
32660 147 1342
32660 215 1323
32660 1245 1260
32660 3 574
32660 574 1260
32680 164 1090
32680 147 1245
32680 74 215
32680 164 1323
32680 1204 1260
32680 34 489
32680 441 1245
32680 1323 1362
32680 59 894
32680 741 1342
32680 215 1492
32680 215 242
32680 147 429
32680 429 1090
32700 461 874
32700 97 426
32700 215 1245
32700 574 1492
32700 3 1245
32700 242 1362
32700 34 489
32700 440 1090
32700 378 1090
32700 59 894
32700 20 242
32700 378 1323
32700 20 429
32700 603 779
32700 117 440
32700 147 1204
32700 77 215
32700 1090 1260
32700 77 1492
32720 34 489
32720 162 261
32720 74 1492
32720 440 441
32720 97 117
32720 1260 1362
32720 1323 1362
32720 59 894
32720 574 1090
32720 440 1204
32720 173 653
32720 3 97
32720 74 215
32720 97 147
32720 215 1204
32720 215 440
32720 97 1260
32720 429 1260
32720 1204 1492
32720 147 1492
32720 741 1342
32720 603 779
32720 122 1245
32740 464 880
32740 3 426
32740 3 441
32740 269 959
32740 3 242
32740 74 985
32740 1209 1323
32740 603 779
32740 74 242
32760 1245 1492
32760 1204 1492
32760 3 147
32760 440 1204
32760 117 741
32760 429 441
32760 198 267
32760 77 1204
32760 242 441
32760 985 1090
32760 440 1323
32760 215 1090
32760 215 429
32760 20 77
32760 261 751
32760 20 426
32760 603 779
32760 215 441
32760 147 429
32760 74 97
32780 122 1362
32780 603 649
32780 158 1342
32780 429 441
32780 3 574
32780 198 267
32780 97 429
32780 74 158
32780 429 574
32780 3 1204
32780 429 1090
32780 122 574
32800 1204 1492
32800 603 649
32800 160 628
32800 147 440
32800 147 1260
32800 74 1492
32800 574 1090
32800 117 741
32800 215 1204
32800 603 779
32800 198 267
32820 378 426
32820 441 1323
32820 1204 1323
32820 215 1209
32820 215 426
32820 198 267
32820 160 1342
32820 603 649
32840 603 649
32840 1260 1492
32840 429 440
32840 429 441
32840 20 441
32840 34 464
32840 198 267
32840 160 1342
32860 160 1342
32860 603 649
32860 544 880
32860 441 1245
32860 34 464
32860 464 628
32860 147 574
32860 441 1204
32860 59 706
32860 97 441
32860 1260 1492
32860 198 267
32860 34 628
32880 122 1362
32880 3 147
32880 464 628
32880 378 441
32880 20 1323
32880 295 884
32880 15 425
32880 122 164
32880 3 574
32880 333 489
32880 147 574
32880 34 464
32880 164 1260
32880 34 628
32880 147 1323
32880 603 649
32880 1090 1492
32880 99 295
32880 173 884
32880 160 1342
32880 198 267
32880 74 97
32880 97 122
32880 173 970
32880 378 1492
32880 122 1245
32900 426 1245
32900 3 97
32900 79 158
32900 122 429
32900 122 1492
32900 3 441
32900 215 1362
32900 97 429
32900 295 544
32900 74 985
32900 34 574
32900 429 1204
32900 215 426
32900 426 985
32900 642 1342
32900 160 1342
32900 122 440
32900 156 236
32920 122 1492
32920 34 259
32920 160 642
32920 122 164
32920 219 706
32920 164 1204
32920 122 440
32920 3 77
32920 3 1260
32920 97 1362
32920 156 236
32920 3 1204
32920 160 1342
32920 642 1342
32920 147 1362
32920 122 1245
32940 77 1362
32940 122 1260
32940 122 164
32940 162 372
32940 34 970
32940 74 1362
32940 164 429
32940 20 74
32940 1090 1204
32940 77 122
32940 147 429
32940 198 267
32940 653 970
32940 219 706
32960 245 628
32960 74 1209
32960 1204 1323
32960 574 642
32960 245 970
32960 1090 1323
32960 20 97
32960 27 295
32960 460 884
32960 259 970
32960 14 653
32960 198 267
32960 628 880
32960 34 884
32960 74 1090
32960 74 985
32960 99 295
32960 1209 1323
32960 909 970
32960 14 259
32960 215 1362
32960 245 880
32960 14 628
32960 99 880
32960 77 441
32960 99 259
32960 3 1323
32980 378 1090
32980 440 1260
32980 160 642
32980 15 464
32980 164 1204
32980 259 653
32980 574 642
32980 464 751
32980 198 267
32980 160 574
32980 460 653
33000 74 429
33000 27 245
33000 574 642
33000 20 77
33000 160 642
33000 198 267
33000 160 574
33000 3 1323
33020 1245 1492
33020 3 441
33020 160 642
33020 27 544
33020 34 970
33020 14 653
33020 574 642
33020 99 245
33020 215 426
33020 14 27
33020 215 441
33020 34 259
33020 160 574
33020 653 880
33020 198 267
33040 426 1362
33040 77 1362
33040 440 1260
33040 14 259
33040 27 544
33040 34 884
33040 74 1362
33040 295 544
33040 259 628
33040 99 295
33040 544 909
33040 215 426
33040 295 628
33040 215 985
33060 34 653
33060 27 544
33060 34 460
33060 245 909
33060 27 295
33060 460 884
33060 544 880
33060 295 628
33060 295 544
33060 14 653
33060 440 1245
33060 14 160
33060 603 649
33060 147 440
33060 34 884
33060 14 544
33060 1204 1492
33060 3 1245
33060 77 429
33060 245 880
33060 245 653
33060 160 259
33080 544 628
33080 245 628
33080 544 880
33080 74 215
33080 245 259
33080 34 884
33080 259 653
33080 74 1492
33080 215 1209
33080 173 884
33080 74 441
33080 77 1323
33080 27 295
33100 122 147
33100 27 160
33100 122 1362
33100 603 649
33100 147 1245
33100 77 1362
33100 122 1090
33100 14 909
33100 544 909
33100 426 1260
33100 429 1323
33100 14 34
33100 985 1090
33100 99 295
33100 99 160
33100 14 27
33100 147 429
33100 200 874
33120 259 628
33120 603 649
33120 1204 1245
33120 245 259
33120 3 426
33120 34 884
33120 245 544
33120 544 909
33120 322 779
33120 211 322
33120 245 909
33120 147 1204
33120 200 874
33120 3 1492
33140 99 909
33140 544 628
33140 378 426
33140 27 544
33140 14 909
33140 322 893
33140 322 779
33140 27 653
33140 77 122
33140 160 880
33140 653 880
33140 27 295
33140 173 544
33140 441 1245
33140 200 874
33140 880 909
33140 20 122
33140 440 1323
33140 34 173
33140 117 475
33140 378 1260
33140 34 880
33140 99 295
33140 378 1245
33140 77 97
33140 544 653
33140 14 99
33140 577 1485
33140 122 1245
33160 3 1362
33160 1204 1492
33160 272 779
33160 147 378
33160 222 793
33160 261 642
33160 34 884
33160 74 985
33160 322 893
33160 322 577
33160 74 426
33160 172 743
33160 215 1204
33160 295 628
33160 20 378
33160 27 295
33160 215 441
33160 77 378
33160 215 985
33180 99 909
33180 147 429
33180 295 628
33180 272 779
33180 34 544
33180 34 884
33180 20 378
33180 74 985
33180 215 1209
33180 429 1204
33180 261 642
33180 20 1323
33180 378 440
33180 3 1204
33180 322 771
33180 378 1492
33180 429 1090
33200 160 544
33200 122 429
33200 603 649
33200 74 147
33200 122 378
33200 147 1492
33200 378 429
33200 34 884
33200 97 147
33200 261 642
33200 884 909
33200 99 160
33200 74 1323
33200 20 122
33200 20 215
33200 99 628
33200 34 909
33200 215 1323
33200 184 893
33200 429 1090
33200 215 985
33220 122 1260
33220 3 147
33220 74 1492
33220 884 909
33220 27 295
33220 215 1090
33220 15 498
33220 1245 1323
33220 261 642
33220 14 653
33220 34 909
33220 603 649
33220 378 1260
33220 34 884
33220 27 160
33220 99 295
33220 172 743
33220 426 1492
33220 215 1323
33220 122 440
33220 74 97
33220 215 1245
33220 743 771
33220 147 1492
33220 3 544
33220 74 1323
33220 215 1209
33220 160 295
33240 743 771
33240 160 295
33240 20 97
33240 89 1204
33240 20 215
33240 245 295
33240 378 1260
33240 261 642
33240 34 884
33240 74 77
33240 74 985
33240 3 74
33240 160 880
33240 3 1090
33240 248 322
33240 34 909
33240 99 880
33240 164 173
33240 77 215
33240 99 245
33240 603 649
33260 3 97
33260 20 97
33260 89 1204
33260 248 510
33260 74 378
33260 378 1323
33260 34 909
33260 577 743
33260 259 653
33260 74 985
33260 259 295
33260 426 985
33260 245 909
33260 164 173
33260 261 642
33260 603 649
33280 122 1492
33280 122 440
33280 89 1204
33280 215 1492
33280 20 1492
33280 215 378
33280 3 426
33280 77 429
33280 387 649
33280 429 985
33280 74 1245
33280 387 603
33280 259 295
33280 172 743
33280 215 426
33280 3 1090
33280 20 378
33280 164 173
33280 160 880
33280 261 642
33280 603 649
33300 74 77
33300 378 1260
33300 89 1204
33300 1245 1323
33300 97 378
33300 261 642
33300 99 160
33300 387 649
33300 387 603
33300 3 1323
33300 77 97
33300 440 1492
33300 160 880
33300 3 1492
33300 261 574
33320 99 909
33320 426 1090
33320 985 1323
33320 14 99
33320 74 215
33320 245 295
33320 378 1260
33320 261 642
33320 295 628
33320 97 1090
33320 245 259
33320 387 603
33320 14 653
33320 653 909
33320 27 628
33320 245 909
33320 74 985
33320 1090 1260
33320 14 259
33340 99 909
33340 74 1209
33340 215 426
33340 574 642
33340 387 603
33340 232 272
33340 14 27
33340 20 97
33340 160 880
33340 261 574
33340 39 465
33340 3 429
33340 160 628
33340 261 642
33340 880 909
33340 3 1090
33340 20 215
33340 259 653
33340 27 628
33340 99 295
33340 77 97
33340 259 909
33340 3 378
33340 97 1090
33340 429 440
33360 27 99
33360 99 909
33360 259 628
33360 215 1090
33360 160 880
33360 261 642
33360 215 426
33360 3 985
33360 27 160
33360 880 909
33360 387 603
33360 14 653
33360 215 1209
33360 27 628
33360 99 880
33360 14 34
33360 440 1492
33360 172 248
33360 77 215
33380 147 1492
33380 259 628
33380 89 1204
33380 160 295
33380 261 642
33380 14 259
33380 387 649
33380 1260 1323
33380 34 880
33380 387 603
33380 119 366
33380 261 434
33380 74 122
33380 122 1245
33380 160 880
33380 14 99
33380 14 160
33380 603 649
33400 27 99
33400 122 1492
33400 74 1209
33400 378 1260
33400 261 642
33400 97 1090
33400 387 603
33400 27 628
33400 20 426
33400 440 1492
33400 20 97
33400 122 440
33400 27 295
33420 27 99
33420 77 429
33420 72 753
33420 97 1492
33420 261 642
33420 295 628
33420 259 653
33420 97 215
33420 387 603
33420 215 426
33420 34 909
33420 20 1323
